business,city_used,status,latitude,longitude,notes
Havoline,"Provo, UT",fallback,37.1246354,-113.6068621,REVIEW NEEDED
Heber Hatchets,"Provo, UT",fallback,40.7609245,-111.89737,REVIEW NEEDED
Honey Baked Ham,"Provo, UT",fallback,40.6662378,-111.8369669,REVIEW NEEDED
Ike's,"Lehi, UT",fallback,37.5107163,-112.553083,REVIEW NEEDED
JCW's,"Provo, UT",found,40.2638278,-111.6656564,
Jack & Jill Lanes,"Lehi, UT",fallback,40.3745715,-111.7787242,REVIEW NEEDED
Jack in the Box,"Provo, UT",fallback,41.487218,-112.0356413,REVIEW NEEDED
Jamba Juice,"Provo, UT",found,40.2481866,-111.654986,
Jiffy Lube,"Provo, UT",found,40.2831587,-111.6581111,
Kreative Kiln,"Provo, UT",found,40.257234,-111.6602724,
LAN King,"Provo, UT",found,40.2446685,-111.6460225,
LoLo Hawaiian BBQ,"Provo, UT",fallback,41.2447249,-111.9727756,REVIEW NEEDED
Los Hermanos,"Provo, UT",found,40.2339567,-111.6584436,
Lowes Xtreme Air Sports,"Provo, UT",found,40.2320687,-111.6786395,
Malawi's Pizza,"Provo, UT",found,40.2990229,-111.6596246,
Marco's Pizza,"Santaquin, UT",fallback,37.0828739,-113.553398,REVIEW NEEDED
McDonald's,"Provo, UT",found,40.2172345,-111.6583911,
Melty,"Provo, UT",fallback,40.6467946,-111.8668134,REVIEW NEEDED
Miracle Bowl,"Orem, UT",found,40.2685022,-111.6812849,
Mooyah,"Provo, UT",found,40.2513332,-111.6598888,
Mrs. Cavanaugh's Chocolates,"Provo, UT",fallback,41.294165,-111.969553,REVIEW NEEDED
Nothing Bundt Cakes,"Provo, UT",fallback,40.7401734,-111.8270644,REVIEW NEEDED
Outback Steakhouse,"Orem, UT",found,40.2729022,-111.6855561,
Papa Murphy's,"Park City, UT",found,40.7843591,-111.938039,
Peaks Ice Arena,"Provo, UT",found,40.2349916,-111.6380973,
Pier 49 Pizza,"American Fork, UT",found,40.3784742,-111.8187387,
Pita Pit,"Provo, UT",found,40.2510793,-111.6581684,
Pizza Hut,"Provo, UT",found,40.2496704,-111.657839,
Pizza Pie Cafe,"Highland, UT",found,40.4309056,-111.7879811,
Pizza Pie Cafe,"Provo, UT",fallback,41.7589078,-111.8330136,REVIEW NEEDED
Pizza Pie Cafe,"Orem, UT",found,40.3261962,-111.7097544,
Provo Bakery,"Provo, UT",found,40.2349337,-111.6555557,
Provo Beach,"Provo, UT",found,40.2995667,-111.659316,
Quench It!,"Provo, UT",fallback,37.0848998,-113.5539912,REVIEW NEEDED
Rancherito's,"Provo, UT",found,40.2211135,-111.6593476,
Rancherito's,"Pleasant Grove, UT",fallback,40.7710986,-111.9135259,REVIEW NEEDED
Red Fuego,"Provo, UT",fallback,40.7257522,-111.8695161,REVIEW NEEDED
Rhyno's Axe & Archery,"Provo, UT",fallback,40.2830528,-111.690871,REVIEW NEEDED
Rocky Mountain Chocolate Factory,"Lehi, UT",found,40.4355194,-111.8848566,
Rodizio Grill,"Provo, UT",fallback,40.7567515,-111.8717433,REVIEW NEEDED
Roxberry Juice Co.,"Spanish Fork, UT",found,40.123402,-111.644872,
Roxberry Juice Co.,"Provo, UT",found,40.2980866,-111.6596429,
Ruby River,"Provo, UT",fallback,40.759645,-111.8706533,REVIEW NEEDED
Rumbi Island Grill,"Provo, UT",fallback,40.5261992,-111.886579,REVIEW NEEDED
SCERA,"Orem, UT",found,40.2860197,-111.6871126,
Shiny Shell Carwash,"Provo, UT",fallback,41.1018343,-111.9373201,REVIEW NEEDED
Sip-N,"Provo, UT",fallback,40.1060991,-111.6528303,REVIEW NEEDED
Slurp,"Provo, UT",found,40.2369166,-111.6589523,
Sonic,"Provo, UT",found,40.2518199,-111.6676319,
Splash Summit Waterpark,"Provo, UT",found,40.2364309,-111.6366392,
Stadium Cinemas,"Provo, UT",fallback,40.0346509,-111.7484863,REVIEW NEEDED
Sub Zero Ice Cream,"Provo, UT",found,40.2339405,-111.659818,
Sweeto Burrito,"Provo, UT",found,40.2514816,-111.658319,
Taco Time,"Orem, UT",found,40.3123487,-111.7209093,
Tandoor Indian Grill,"Provo, UT",fallback,40.6643492,-111.8396111,REVIEW NEEDED
Taylor Andrews Academy,"Provo, UT",found,40.2615222,-111.6692658,
The Forum Academy,"Provo, UT",fallback,40.3716836,-111.7805116,REVIEW NEEDED
The Place Pizza,"Provo, UT",fallback,41.0627677,-111.9454674,REVIEW NEEDED
The Ruth,"Provo, UT",fallback,40.3590777,-111.7612082,REVIEW NEEDED
The Smoked Taco,"Provo, UT",fallback,40.8839961,-111.8864011,REVIEW NEEDED
This Is The Place Heritage Park,"Provo, UT",fallback,40.7540285,-111.8167209,REVIEW NEEDED
Tropical Smoothie Cafe,"Provo, UT",fallback,41.7193565,-111.836363,REVIEW NEEDED
Tsubame Rotating Sushi,"Provo, UT",fallback,40.3077591,-111.7370941,REVIEW NEEDED
Twisted Sugar,"Saratoga Springs, UT",found,40.3881892,-111.9106887,
Umami Japanese Barbeque,"Provo, UT",fallback,40.3077381,-111.7364354,REVIEW NEEDED
Village Inn,"Provo, UT",found,40.221489,-111.6584057,
Waffle Love,"Provo, UT",found,40.2584228,-111.6747927,
Wallaby's,"Provo, UT",fallback,40.2957105,-111.6935892,REVIEW NEEDED
Wendy's,"Provo, UT",found,40.2503615,-111.6567889,
Wing Nutz,"Orem, UT",found,40.2776812,-111.6775826,
Wingers,"Provo, UT",fallback,37.104856,-113.5559589,REVIEW NEEDED
Wingstop,"Provo, UT",found,40.2638575,-111.6696588,
Yogurtland,"Provo, UT",fallback,37.1067199,-113.5541347,REVIEW NEEDED
Yonutz,"Saratoga Springs, UT",fallback,40.5499719,-111.892432,REVIEW NEEDED
Yummy's Korean BBQ,"Provo, UT",fallback,40.6679815,-111.9625196,REVIEW NEEDED
ZAGG,"Provo, UT",fallback,37.1103513,-113.5913262,REVIEW NEEDED
Zipline Utah,"Provo Canyon, UT",fallback,40.4251712,-111.493987,REVIEW NEEDED
