id,business,category,deal,location_restriction,restrictions,usage_limit,address,latitude,longitude
sandwiches-409,Pita Pit,sandwiches,2-4-1! Entree!,,,3,,,
sandwiches-410,Pita Pit,sandwiches,Buy an Entree and a Side Get an Entree FREE!,,,2,,,
sandwiches-411,Sonic,sandwiches,2-4-1! Sonic Cheeseburger! Valid at All Utah County Locations,All Utah County,,unlimited,,,
sandwiches-412,Tommy's Burgers,sandwiches,2-4-1! Burger Combo!,,,1,,,
sandwiches-413,Tommy's Burgers,sandwiches,2-4-1! Hot Dog Combo!,,,1,,,
sandwiches-414,Wayback Burgers,sandwiches,2-4-1! Any Burger Sandwich or Hot Dog!,PG & WJ,,2,,,
sandwiches-415,Wayback Burgers,sandwiches,2-4-1! Any Order of Chicken Tenders!,PG & WJ,,3,,,
sandwiches-416,Wendy's,sandwiches,FREE! Small Frosty w/ Any Purchase! Provo 122 E 1300 N Orem Center St N. Orem AF Highland Saratoga Traverse Mtn & Participating Locations,Provo 122 E 1300 N Orem Center St,,3,,,
sandwiches-417,Wendy's,sandwiches,Buy a Dave's Single or Spicy Chicken Get One FREE! Same Locations,Same Locations,,3,,,
sandwiches-418,Zub's Pizza & Sub's,sandwiches,Buy Any Sub Get 1 FREE!,,,1,,,
